datetime,precip,level
2022-03-10 18:00:00,0.0,849.0
2022-03-10 19:00:00,0.0,849.0
2022-03-12 00:00:00,0.2176,849.0
2022-03-12 01:00:00,4.995733333333333,849.0
2022-03-12 02:00:00,8.695500000000001,849.0
2022-03-12 03:00:00,7.188166666666667,849.0
2022-03-12 04:00:00,5.049,849.0
2022-03-12 05:00:00,0.153,849.0
2022-03-12 06:00:00,1.224,773.0
2022-03-12 07:00:00,0.0,781.0
2022-03-12 08:00:00,0.0,734.0
2022-03-12 09:00:00,0.0,759.0
2022-03-12 10:00:00,0.0,783.0
2022-03-12 11:00:00,0.0,808.0
2022-03-12 12:00:00,0.0,823.0
2022-03-16 04:00:00,0.6324000000000001,849.0
2022-03-16 05:00:00,4.3911,849.0
2022-03-16 06:00:00,1.8717,849.0
2022-03-16 07:00:00,1.1934,850.0
2022-03-16 08:00:00,2.6894,829.0
2022-03-16 09:00:00,9.503,819.0
2022-03-16 10:00:00,5.060333333333333,818.0
2022-03-16 11:00:00,4.282866666666667,825.0
2022-03-16 12:00:00,1.4263,812.0
2022-03-16 13:00:00,0.5128333333333333,732.0
2022-03-16 14:00:00,0.0226666666666666,759.0
2022-03-16 15:00:00,0.238,752.0
2022-03-16 16:00:00,0.0,779.0
2022-03-16 17:00:00,0.0,810.0
2022-03-16 18:00:00,0.0,821.0
2022-03-16 19:00:00,0.0,829.0
2022-03-16 20:00:00,0.0,827.0
2022-03-16 21:00:00,0.0,829.0
2022-03-17 06:00:00,0.0113333333333333,839.0
2022-03-17 07:00:00,0.0566666666666666,839.0
2022-03-17 08:00:00,0.0481666666666666,839.0
2022-03-17 09:00:00,0.0368333333333333,839.0
2022-03-17 10:00:00,0.017,839.0
2022-03-17 11:00:00,0.0255,839.0
2022-03-17 12:00:00,0.0085,839.0
2022-03-17 13:00:00,0.0,839.0
2022-03-17 14:00:00,0.0,839.0
2022-03-17 15:00:00,0.0,839.0
2022-03-17 16:00:00,0.0,839.0
2022-03-17 17:00:00,0.0,839.0
2022-03-17 18:00:00,0.0,839.0
2022-03-18 10:00:00,0.0368333333333333,839.0
2022-03-18 11:00:00,0.0311666666666666,839.0
2022-03-18 12:00:00,0.0,839.0
2022-03-18 13:00:00,0.0,839.0
2022-03-18 14:00:00,2.1794,839.0
2022-03-18 15:00:00,4.6574333333333335,839.0
2022-03-18 16:00:00,3.125166666666667,839.0
2022-03-18 17:00:00,0.0,841.0
2022-03-18 18:00:00,0.0,819.0
2022-03-18 19:00:00,0.0,812.0
2022-03-18 20:00:00,0.0,804.0
2022-03-18 21:00:00,0.0,818.0
2022-03-18 22:00:00,0.0,829.0
2022-03-19 00:00:00,0.034,833.0
2022-03-19 01:00:00,0.136,837.0
2022-03-19 02:00:00,0.017,837.0
2022-03-19 03:00:00,0.085,837.0
2022-03-19 04:00:00,0.119,837.0
2022-03-19 05:00:00,0.2295,837.0
2022-03-19 06:00:00,0.1445,837.0
2022-03-19 07:00:00,0.0255,837.0
2022-03-19 08:00:00,0.0255,837.0
2022-03-19 09:00:00,0.017,833.0
2022-03-19 10:00:00,0.0,833.0
2022-03-19 11:00:00,0.0,833.0
2022-03-19 12:00:00,0.0,837.0
2022-03-19 13:00:00,0.0,839.0
2022-03-19 14:00:00,0.0,843.0
2022-03-19 15:00:00,0.0,843.0
2022-03-23 06:00:00,1.309,852.0
2022-03-23 07:00:00,4.131,850.0
2022-03-23 08:00:00,5.173666666666667,852.0
2022-03-23 09:00:00,3.615333333333333,850.0
2022-03-23 10:00:00,1.4178,829.0
2022-03-23 11:00:00,2.2825333333333337,808.0
2022-03-23 12:00:00,0.2096666666666666,790.0
2022-03-23 13:00:00,6.9190000000000005,742.0
2022-03-23 14:00:00,0.0,812.0
2022-03-23 15:00:00,0.0,800.0
2022-03-23 16:00:00,0.0,825.0
2022-03-23 17:00:00,0.0,732.0
2022-03-23 18:00:00,0.0,796.0
2022-03-23 19:00:00,0.0,829.0
2022-04-13 12:00:00,0.1019999999999999,850.0
2022-04-13 13:00:00,0.0,850.0
2022-04-13 14:00:00,0.0,850.0
2022-04-13 15:00:00,0.0,850.0
2022-04-13 16:00:00,0.0,852.0
2022-04-13 17:00:00,0.0,850.0
2022-04-13 18:00:00,0.0,850.0
2022-04-16 06:00:00,0.4306666666666666,852.0
2022-04-16 07:00:00,4.298166666666667,850.0
2022-04-16 08:00:00,3.3461666666666665,852.0
2022-04-16 09:00:00,0.119,852.0
2022-04-16 10:00:00,0.0,850.0
2022-04-16 11:00:00,0.0,808.0
2022-04-16 12:00:00,0.0,812.0
2022-04-16 13:00:00,0.0,827.0
2022-04-16 14:00:00,0.0,839.0
2022-04-16 15:00:00,0.0,845.0
2022-04-17 04:00:00,0.085,850.0
2022-04-17 05:00:00,0.017,850.0
2022-04-17 06:00:00,0.017,850.0
2022-04-17 07:00:00,0.017,850.0
2022-04-17 08:00:00,0.017,850.0
2022-04-17 09:00:00,0.0,850.0
2022-04-17 10:00:00,0.0,850.0
2022-04-17 11:00:00,0.0,850.0
2022-04-17 12:00:00,0.0,850.0
2022-04-17 13:00:00,0.0,850.0
2022-04-17 14:00:00,0.0,850.0
2022-04-17 23:00:00,0.221,850.0
2022-04-18 00:00:00,5.765833333333333,850.0
2022-04-18 01:00:00,3.169366666666667,850.0
2022-04-18 02:00:00,3.395466666666666,850.0
2022-04-18 03:00:00,12.109666666666667,850.0
2022-04-18 04:00:00,1.0965,790.0
2022-04-18 05:00:00,4.7515,816.0
2022-04-18 06:00:00,2.1561666666666666,806.0
2022-04-18 07:00:00,4.0375,678.0
2022-04-18 08:00:00,13.4725,781.0
2022-04-18 09:00:00,1.8785,777.0
2022-04-18 10:00:00,0.0,796.0
2022-04-18 11:00:00,0.0,790.0
2022-04-18 12:00:00,0.0,657.0
2022-04-18 13:00:00,0.0,750.0
2022-04-18 14:00:00,0.0,806.0
2022-04-18 15:00:00,0.0,823.0
2022-04-23 07:00:00,0.034,850.0
2022-04-23 08:00:00,0.017,850.0
2022-04-23 09:00:00,0.017,850.0
2022-04-23 10:00:00,0.0,850.0
2022-04-23 11:00:00,0.0,850.0
2022-04-23 12:00:00,0.0,850.0
2022-04-23 13:00:00,0.0,850.0
2022-04-23 14:00:00,0.0,850.0
2022-04-23 15:00:00,0.0,850.0
2022-04-24 08:00:00,0.017,850.0
2022-04-24 09:00:00,0.0,850.0
2022-04-24 10:00:00,0.0,850.0
2022-04-24 11:00:00,0.0,850.0
2022-04-24 12:00:00,0.0,850.0
2022-04-24 13:00:00,0.0,850.0
2022-04-24 14:00:00,0.0,850.0
2022-04-25 07:00:00,0.017,850.0
2022-04-25 08:00:00,0.034,850.0
2022-04-25 09:00:00,0.017,850.0
2022-04-25 10:00:00,0.0,850.0
2022-04-25 11:00:00,0.0,850.0
2022-04-25 12:00:00,0.0,850.0
2022-04-25 13:00:00,0.0,852.0
2022-04-25 14:00:00,0.0,850.0
2022-04-25 15:00:00,0.0,850.0
2022-04-26 07:00:00,0.017,850.0
2022-04-26 08:00:00,0.017,850.0
2022-04-26 09:00:00,0.017,850.0
2022-04-26 10:00:00,0.0,850.0
2022-04-26 11:00:00,0.0,850.0
2022-04-26 12:00:00,0.2108,850.0
2022-04-26 13:00:00,1.6422,850.0
2022-04-26 14:00:00,0.0,850.0
2022-04-26 15:00:00,0.0,850.0
2022-04-26 16:00:00,0.0,850.0
2022-04-26 17:00:00,0.0,814.0
2022-04-26 18:00:00,0.0,843.0
2022-04-26 19:00:00,0.0,850.0
2022-05-04 05:00:00,0.034,850.0
2022-05-04 06:00:00,0.0679999999999999,850.0
2022-05-04 07:00:00,0.0,850.0
2022-05-04 08:00:00,0.0,850.0
2022-05-04 09:00:00,0.0,850.0
2022-05-04 10:00:00,0.0,850.0
2022-05-04 11:00:00,0.0,850.0
2022-05-04 12:00:00,0.0,850.0
2022-05-05 07:00:00,0.017,850.0
2022-05-05 08:00:00,0.017,850.0
